last_name, first_name,player_id,team_name_alt,pitch_type,pitch_name,run_value_per_100,run_value,pitches,pitch_usage,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent
Bummer, Aaron,607481,CWS,SL,Slider,-3.4,-4,124,27.1,39,0.143,0.143,0.169,42.2,51.3,33.9,0.149,0.188,0.186,12.5
Bird, Jake,656234,COL,CUKC,Curveball,1.5,2,113,15.2,39,0.211,0.474,0.296,53.5,61.5,36.9,0.161,0.317,0.216,35.7
Kuhl, Chad,641771,COL,CH,Changeup,2.6,4,171,7.2,39,0.361,0.694,0.49,22.5,7.7,11.5,0.299,0.618,0.413,39.4
Richards, Trevor,670950,TOR,CUKC,Curveball,3.9,8,214,18.4,38,0.333,0.515,0.382,32.9,13.2,12.5,0.32,0.58,0.407,40
Gustave, Jandel,594311,MIL,SL,Slider,-2.2,-4,170,36.5,38,0.147,0.176,0.183,22.6,26.3,15.2,0.141,0.246,0.218,32
Nogosek, Stephen,668665,NYM,FF,4-Seamer,-1.7,-3,156,41.4,38,0.156,0.25,0.258,24,31.6,23.5,0.193,0.35,0.306,45
Nance, Tommy,667297,MIA,SL,Slider,1.2,2,138,18.4,38,0.222,0.333,0.264,30.6,28.9,25.6,0.254,0.357,0.289,40
Sousa, Bennett,656986,CWS,FF,4-Seamer,3.6,6,155,42.5,38,0.438,0.688,0.5,16.3,2.6,3.1,0.356,0.593,0.436,68.8
Waldichuk, Ken,686610,OAK,SL,Slider,-0.8,-1,123,21,38,0.121,0.273,0.216,33.9,34.2,22,0.148,0.326,0.252,23.8
Jax, Griffin,643377,MIN,CH,Changeup,-0.3,-1,158,13.7,38,0.222,0.25,0.232,31.7,26.3,27.8,0.233,0.329,0.269,26.9
Woodford, Jake,663765,STL,SL,Slider,-1.4,-3,197,28.3,38,0.189,0.324,0.213,25.5,18.4,11.9,0.228,0.359,0.253,22.6
Eflin, Zach,621107,PHI,FC,Cutter,3.7,6,177,14.8,38,0.375,0.688,0.471,19,15.8,17.6,0.302,0.553,0.402,44.4
Feltner, Ryan,663372,COL,CUKC,Curveball,2.1,3,159,9.5,38,0.235,0.324,0.254,23,36.8,17.7,0.243,0.321,0.261,40.9
Morton, Charlie,450203,ATL,FC,Cutter,0.8,2,271,9.3,38,0.353,0.912,0.555,29.1,0,0,0.289,0.75,0.462,44.1
Wright, Kyle,657140,ATL,SL,Slider,-1.1,-2,193,7.2,38,0.27,0.432,0.313,24.7,10.5,57.1,0.281,0.51,0.346,27.3
Ruiz, Norge,650204,OAK,SL,Slider,4.6,6,139,38,38,0.344,0.656,0.447,29.6,28.9,20.8,0.251,0.507,0.377,63.6
Stout, Eric,657770,PIT,FF,4-Seamer,3,5,157,34.9,38,0.333,0.533,0.441,25.8,18.4,13.2,0.268,0.495,0.405,43.5
Garcia, Bryan,650530,DET,SIFT,Sinker,-0.8,-1,156,49.2,38,0.226,0.419,0.353,16.4,23.7,21.4,0.244,0.446,0.37,50
Mills, Alec,621219,CHC,SIFT,Sinker,1.8,2,113,37.4,38,0.25,0.5,0.336,12.9,15.8,21.4,0.273,0.488,0.344,40
Gibson, Kyle,502043,PHI,CUKC,Curveball,5.9,11,180,6.6,38,0.429,0.971,0.574,32.8,21.1,12.7,0.343,0.728,0.457,50
Ryu, Hyun Jin,547943,TOR,FF,4-Seamer,1.4,2,165,41.8,38,0.333,0.611,0.416,12.9,10.5,12.1,0.356,0.682,0.455,46.9
DeSclafani, Anthony,543101,SF,SIFT,Sinker,3.1,3,95,28.9,37,0.364,0.515,0.413,4.2,13.5,21.7,0.29,0.416,0.339,53.3
Sanchez, Aaron,592717,MIN,FF,4-Seamer,-0.1,0,197,19.6,37,0.303,0.424,0.338,18.9,8.1,7.1,0.243,0.356,0.288,45.2
Bundy, Dylan,605164,MIN,CUKC,Curveball,-1.2,-3,231,10.6,37,0.216,0.324,0.234,11.3,8.1,11.1,0.265,0.434,0.304,20.6
Barlow, Joe,669618,TEX,FF,4-Seamer,-0.2,0,152,27.4,37,0.233,0.5,0.362,24.2,24.3,25,0.229,0.597,0.392,45.5
Borucki, Ryan,621366,SEA,SL,Slider,3.8,6,160,38.6,37,0.242,0.697,0.419,42.5,43.2,27.1,0.192,0.469,0.325,41.2
Hearn, Taylor,621368,TEX,CH,Changeup,1.7,3,156,8.7,37,0.361,0.5,0.407,18.7,5.4,6.7,0.305,0.449,0.335,41.2
Brigham, Jeff,656257,MIA,FF,4-Seamer,-1.3,-2,178,42.5,37,0.212,0.455,0.314,26.7,18.9,14,0.229,0.43,0.317,48.1
Kuhnel, Joel,669270,CIN,CH,Changeup,0.2,0,143,15.3,37,0.2,0.371,0.249,25.4,35.1,25,0.179,0.413,0.271,39.1
Loup, Aaron,571901,LAA,CH,Changeup,0.3,0,121,12.5,37,0.2,0.257,0.276,31.4,21.6,14,0.213,0.255,0.234,14.8
Cleavinger, Garrett,664076,TB,FF,4-Seamer,-0.3,0,132,38,37,0.219,0.406,0.323,26.7,37.8,34.1,0.237,0.468,0.353,50
Brogdon, Connor,641401,PHI,FC,Cutter,-1.8,-3,176,24.8,37,0.229,0.4,0.292,34.8,21.6,29.6,0.176,0.282,0.225,22.2
Edwards Jr., Carl,605218,WSH,CH,Changeup,-3.1,-3,97,9.6,37,0.206,0.235,0.249,24.5,13.5,25,0.277,0.331,0.295,33.3
Fleming, Josh,676596,TB,CH,Changeup,5.3,7,126,19,37,0.324,0.529,0.466,21.9,10.8,7.1,0.284,0.502,0.367,50
Lambert, Jimmy,669424,CWS,CH,Changeup,-1.5,-2,116,14.2,37,0.206,0.294,0.261,19.3,16.2,15,0.217,0.285,0.24,31
Uelmen, Erich,657272,CHC,FF,4-Seamer,0.5,1,146,31.5,37,0.259,0.407,0.361,21.4,18.9,15.6,0.256,0.415,0.364,31.8
Davies, Zach,605200,ARI,FC,Cutter,1.6,2,134,5.8,37,0.242,0.424,0.328,19.2,8.1,18.8,0.218,0.351,0.296,16.7
Jameson, Drey,686753,ARI,FF,4-Seamer,-2.3,-3,127,34.4,37,0.235,0.353,0.291,17.9,16.2,14,0.312,0.515,0.384,60.7
Uceta, Edwin,670955,ARI,SIFT,Sinker,2.8,4,158,54.1,37,0.241,0.448,0.381,27,21.6,17.4,0.248,0.362,0.36,47.6
Middleton, Keynan,641871,ARI,FF,4-Seamer,5.1,6,122,50.6,37,0.294,0.824,0.477,30.2,21.6,24.2,0.302,0.692,0.44,50
